,power_output,NYC_demand,Pdifference,PV2G,Pdifference_left,Power_missing,Charging,Discharging,Critical,Driving,Missing_noscale,Blocked_high,Blocked_low,P_Blocked_high,P_Blocked_low,P_driving,Total,P_balance_without,P_balance_with_missing
2013-01-27 10:45:00,8334.9911825,6563.675,1771.3161824999993,-1770.0,-28378.6838175,0,0,1419000,603000,1790,0,0,14945,0.0,0.5547512991833704,0,5337842.234198921,185.7967397500006,185.7967397500006
2013-01-27 11:00:00,8433.94323975,6478.1465,1955.7967397500006,-1955.0,-36819.20326025,0,0,1841000,775500,1689,0,0,14598,0.0,0.5418708240534521,0,6616775.556181356,-4.460202999998728,-4.460202999998728
2013-01-27 11:15:00,8532.895297000001,6582.3555,1950.5397970000013,-1945.0,-31224.460203,0,0,1561500,663500,2163,0,0,15290,0.0,0.5675575352635486,0,6318277.643090543,76.8055917499994,76.8055917499994
2013-01-27 11:30:00,8571.21359175,6549.408,2021.8055917499994,-2015.0,-35803.19440825,0,0,1790500,756500,1817,0,0,15355,0.0,0.569970304380104,0,7024588.452088453,62.698886500000754,62.698886500000754
2013-01-27 11:45:00,8609.531886499999,6531.8330000000005,2077.6988865000008,-2070.0,-36572.3011135,0,0,1829000,773000,2040,0,0,15494,0.0,0.5751299183370453,0,7452464.3844354665,27.5874812499992,27.5874812499992
2013-01-27 12:00:00,8647.85018125,6550.2627,2097.587481249999,-2095.0,-41977.41251875,0,0,2099000,881500,2012,0,0,15627,0.0,0.5800668151447661,0,8632907.214278033,22.137275999998565,22.137275999998565
2013-01-27 12:15:00,8686.168475999999,6569.0312,2117.1372759999986,-2110.0,-36682.862724,0,0,1834500,776000,2306,0,0,16283,0.0,0.6044172234595397,0,8421371.093282241,-11.225952750000943,-11.225952750000943
2013-01-27 12:30:00,8669.006047249999,6570.232,2098.774047249999,-2090.0,-38151.22595275,0,0,1908000,805000,2008,0,0,16403,0.0,0.6088715664439495,0,8569377.41822019,-30.69238150000092,-30.69238150000092
2013-01-27 12:45:00,8651.843618500001,6592.536,2059.307618499999,-2050.0,-32840.692381500005,0,0,1642500,698000,2005,0,0,16574,0.0,0.6152190051967334,0,7541331.180480802,48.78958975000114,48.78958975000114
2013-01-27 13:00:00,8634.681189750001,6535.8916,2098.789589750001,-2090.0,-35151.21041025,0,0,1758000,745000,1724,0,0,16189,0.0,0.6009279881217521,0,7469903.6224659365,-53.37183900000059,-53.37183900000059
2013-01-27 13:15:00,8617.518761,6580.8906,2036.6281609999994,-2030.0,-36863.371839,0,0,1843500,778000,1917,0,0,16015,0.0,0.5944691907943578,0,7840054.396092361,38.510711499999616,38.510711499999616
2013-01-27 13:30:00,8629.9033115,6561.3926,2068.5107114999996,-2060.0,-38881.4892885,0,0,1944500,819000,1978,0,0,16171,0.0,0.6002598366740906,0,8468739.620065978,47.77416199999925,47.77416199999925
2013-01-27 13:45:00,8642.287862000001,6534.5137,2107.7741619999993,-2100.0,-39392.225838,0,0,1970000,830000,2142,0,0,16454,0.0,0.6107646622123237,0,9040268.45637584,18.561412500000188,18.561412500000188
2013-01-27 14:00:00,8654.6724125,6536.111,2118.5614125,-2115.0,-46806.4385875,0,0,2340500,978500,2134,0,0,16561,0.0,0.6147364513734224,0,10844616.130988475,56.847962999999254,56.847962999999254
2013-01-27 14:15:00,8667.056962999999,6495.209,2171.8479629999993,-2165.0,-45153.152037,0,0,2258000,946500,2511,0,0,17136,0.0,0.6360801781737194,0,11837272.72727273,-61.060238500000196,-61.060238500000196
2013-01-27 14:30:00,8649.5097615,6545.57,2103.9397615,-7520.0,-55746.0602385,5420,0,2517000,1157000,2476,542,0,17117,0.0,0.6353749072011878,0,13471833.401388323,-5393.735440000002,26.2645599999978
